,City,Country,Department,EndDate,Firstname,FiscalYear,ID,Institution,Lastname,Middlename,NamePrefix,NameSuffix,PostalCode,StartDate,State,Title
116,Gainesville,USA,Department of History,2009-11-30,Sean,2010,78088,University of Florida,Adams,Patrick,Prof.,{},32611-0001,2009-10-31,FL,Associate Professor
117,Newton,USA,Social Studies Department,1994-12-16,Timothy,1995,5541,Newton High School,Adams,C.,{},{},{},1994-12-16,KS,Social Studies Department
118,Morgantown,USA,Department of English,2006-08-01,Timothy,2006,74830,West Virginia University,Adams,D.,Prof.,{},26506-6201,2006-08-01,WV,Professor
119,Washington,USA,{},2010-12-31,William,2003,83004,National Endowment for the Humanities,Adams,D.,{},{},20506-0001,2003-02-01,DC,Chairman
120,Washington,USA,{},1995-02-10,Jeremy,1995,8735,National Museum of American Art,Adamson,{},Dr.,{},20018,1995-02-09,DC,Curator of Decorative Arts
121,Atlanta,USA,{},2010-08-19,Walter,2010,78599,Emory University,Adamson,L.,Prof.,{},30322-1018,2010-08-19,GA,{}
122,New Brunswick,USA,History,1999-04-30,Michael,1999,6085,"Rutgers University, New Brunswick",Adas,{},Prof.,{},08901-8559,1999-04-30,NJ,Historian/Prof.
123,Iowa City,USA,School of Art and Art History,2010-11-30,Craig,2011,79151,University of Iowa,Adcock,E.,Prof.,{},52242-1320,2010-10-31,IA,Professor of Art History
124,New York,USA,{},1990-11-16,Alan,1991,9353,"Films for Humanity, Inc.",Adelson,M.,Mr.,{},10013-2942,1990-11-15,NY,{}
125,Lake Forest,USA,{},2008-04-30,Glenn,2008,76455,Lake Forest College,Adelson,{},Mr.,{},60045-2399,2008-04-30,IL,Associate Professor and Director of Environmental Studies
126,Lake Forest,USA,{},2011-11-07,Glenn,2012,80143,Lake Forest College,Adelson,{},Mr.,{},60045-2399,2011-11-07,IL,Associate Professor and Director of Environmental Studies
127,Tempe,USA,{},1997-03-07,Roger,1997,9727,Arizona State University,Adelson,D.,Prof.,{},85281-3670,1997-03-07,AZ,Department of History
128,Tempe,USA,{},2009-03-20,Roger,2009,77229,Arizona State University,Adelson,D.,Prof.,{},85281-3670,2009-03-20,AZ,Department of History
129,Laramie,USA,Department of American Studies and African American and Diaspora Studies,2011-11-30,Ulrich,2012,80282,University of Wyoming,Adelt,{},Dr.,{},82071-2000,2011-11-30,WY,Assistant Professor
130,New York,USA,{},1900-01-01,Lisa,0,84914,Turquoise Films,Ades,{},Ms.,{},10019-5231,1900-01-01,NY,Producer/Director
131,New York,USA,{},2002-04-19,Lisa,2002,9086,Turquoise Films,Ades,{},Ms.,{},10019-5231,2002-04-19,NY,Producer/Director
132,New York,USA,{},2009-04-07,Lisa,2009,77240,Turquoise Films,Ades,{},Ms.,{},10019-5231,2009-04-07,NY,Producer/Director
133,New York,USA,{},2011-04-12,Lisa,2011,79481,Turquoise Films,Ades,{},Ms.,{},10019-5231,2011-04-12,NY,Producer/Director
134,St. Paul,USA,Department of Political Science,1993-12-08,Franklin,1994,7032,Macalester College,Adler,H.,Prof.,{},55105-1899,1993-12-08,MN,"Theodore Mitau Chair of Social Science, Professor of Political Science (Emeritus)"
135,St. Paul,USA,Department of Political Science,1994-12-07,Franklin,1995,7226,Macalester College,Adler,H.,Prof.,{},55105-1899,1994-12-07,MN,"Theodore Mitau Chair of Social Science, Professor of Political Science (Emeritus)"
136,St. Paul,USA,Department of Political Science,2013-07-30,Franklin,2013,81779,Macalester College,Adler,H.,Prof.,{},55105-1899,2013-07-30,MN,"Theodore Mitau Chair of Social Science, Professor of Political Science (Emeritus)"
137,Brooklyn,USA,{},2010-07-29,Jonathan,2010,78500,"CUNY Research Foundation, Brooklyn College",Adler,Eric,Dr.,{},11210-2850,2010-07-29,NY,{}
138,Gambier,USA,{},2006-10-11,Joseph,2007,75235,Kenyon College,Adler,A.,Prof.,{},43022-5020,2006-10-11,OH,{}
139,Rockville,USA,{},1988-12-31,Joy,1989,5122,Montgomery County Public Schools,Adler,H.,Mrs.,{},20850-1718,1988-11-15,MD,Teacher
140,Dallas,USA,{},1998-01-14,Michael,1998,1052,Southern Methodist University,Adler,A.,Dr.,{},75205,1998-01-14,TX,Department of Anthropology
141,Raleigh,USA,Department of Philosophy and Religion,1991-01-07,William,1991,28381,North Carolina State University,Adler,{},Prof.,{},27695-0001,1991-01-07,NC,Professor
142,Raleigh,USA,Department of Philosophy and Religion,1993-02-26,William,1993,24762,North Carolina State University,Adler,{},Prof.,{},27695-0001,1993-02-26,NC,Professor
143,Raleigh,USA,Department of Philosophy and Religion,2006-08-14,William,2006,75050,North Carolina State University,Adler,{},Prof.,{},27695-0001,2006-08-14,NC,Professor
144,Annapolis,USA,{},1989-06-22,James,1989,1960,Anne Arundel County Public Schools,Adomanis,F.,Prof.,{},21401-7427,1989-06-22,MD,Social Studies Educator (Retd)
145,Annapolis,USA,{},1990-02-01,James,1990,1980,Anne Arundel County Public Schools,Adomanis,F.,Prof.,{},21401-7427,1990-02-01,MD,Social Studies Educator (Retd)
146,Annapolis,USA,{},1997-01-15,James,1997,10409,Anne Arundel County Public Schools,Adomanis,F.,Prof.,{},21401-7427,1996-12-15,MD,Social Studies Educator (Retd)
147,Annapolis,USA,{},1997-12-15,James,1998,1041,Anne Arundel County Public Schools,Adomanis,F.,Prof.,{},21401-7427,1997-12-15,MD,Social Studies Educator (Retd)
148,Annapolis,USA,{},2000-01-20,James,2000,601,Anne Arundel County Public Schools,Adomanis,F.,Prof.,{},21401-7427,2000-01-20,MD,Social Studies Educator (Retd)
149,Salt Lake City,USA,{},2007-11-27,James,2008,76177,University of Utah,Adovasio,{},Dr.,{},84112-9055,2007-11-27,UT,Professor of Anthropology
150,Westfield,USA,{},1989-12-15,Robert,1990,5171,Westfield Senior High School,Adriance,A.,{},{},07090,1989-12-15,NJ,{}
151,New York,USA,Department of French & Italian,1991-06-03,Charles,1991,7656,New York University,Affron,M.,Prof.,{},10012-1019,1991-06-03,NY,Professor of French
152,Princeton,USA,Music,1993-12-08,Kofi,1994,7110,Princeton University,Agawu,{},Prof.,{},08540-5228,1993-12-08,NJ,Professor of Music
153,Bloomsburg,USA,English,2002-12-16,Steven,2003,69775,Bloomsburg University of Pennsylvania,Agbaw,E.,Prof.,{},17815-1301,2002-11-18,PA,Professor
154,Bloomsburg,USA,English,2004-04-23,Steven,2004,72783,Bloomsburg University of Pennsylvania,Agbaw,E.,Prof.,{},17815-1301,2004-04-23,PA,Professor
155,{},{},{},2007-08-08,Joel,2007,75899,Unaffiliated Independent Scholar,Agee,{},Mr.,{},{},2007-08-08,{},{}
156,New York,USA,{},1991-11-01,William,1992,5634,"CUNY Research Foundation, Hunter College",Agee,C.,Mr.,{},10065-5024,1991-11-01,NY,Professor of Art
157,{},{},{},1993-05-17,O. Rudolph,1993,50580,{},Aggrey,{},Mr.,{},{},1993-05-17,{},{}
158,New Haven,USA,{},1994-05-10,Jean-Christophe,1994,9590,Yale University,Agnew,{},Prof.,{},06510-1703,1994-05-09,CT,Department of History
159,Syracuse,USA,The Writing Program,2003-08-12,Lois,2003,70231,Syracuse University,Agnew,{},Prof.,{},13244-0001,2003-08-12,NY,Associate Professor of Writing and Rhetoric
160,Syracuse,USA,The Writing Program,2013-12-05,Lois,2014,82265,Syracuse University,Agnew,{},Prof.,{},13244-0001,2013-12-05,NY,Associate Professor of Writing and Rhetoric
161,Rio Piedras,USA,Department of Humanistic Studies,2000-05-01,Milagros,2000,5793,Inter-American University of Puerto Rico,Agosto-Otero,{},{},{},00927-4517,2000-05-01,PR,Professor
162,{},{},{},2010-10-30,Loraine,2011,79261,Unaffiliated Independent Scholar,Aguera-Arcas,{},{},{},{},2010-10-02,{},Humanities and Spanish High School Teacher
163,Newton,USA,{},2010-09-27,Maria,2010,78818,Iguana Films,Aguilar-Carter,{},Ms.,{},{},2010-09-27,MA,President
164,Newton,USA,{},2012-09-11,Maria,2012,80951,Iguana Films,Aguilar-Carter,{},Ms.,{},{},2012-09-11,MA,President
165,Los Angeles,USA,{},1998-08-19,Robert,1998,4228,"University of California, Los Angeles",Aguirre,David,Mr.,{},90095-9000,1998-08-19,CA,{}
166,Providence,USA,{},1989-05-22,Edward,1989,7598,Brown University,Ahearn,J.,Prof.,{},02912-0001,1989-05-22,RI,Prof. of Comp. Lit. & Fren. St
167,Tempe,USA,{},1995-05-02,Maureen,1995,7776,Arizona State University,Ahern,{},Prof.,{},85281-3670,1995-05-02,AZ,{}
168,Easton,USA,Department of Art,2000-03-20,Diane Cole,2000,8194,Lafayette College,Ahl,{},{},{},18042-7625,2000-03-20,PA,Charles A. Dana Prof - ArtHist
169,Easton,USA,Department of Art,2004-07-13,Diane Cole,2004,72921,Lafayette College,Ahl,{},{},{},18042-7625,2004-07-13,PA,Charles A. Dana Prof - ArtHist
170,Ithaca,USA,{},1992-06-04,Frederick,1992,7700,Cornell University,Ahl,M.,Prof.,{},14853-2801,1992-06-04,NY,Professor
