,AccesGovernor,AccessFormat,AccessMassMail,AccessMtg,AccessMtgOpen,AccessNews,AccessNewsFreq,AccessNewsName,AccessOfficial,AccessPublic,AttendChautauqua,AttendConference,AttendCultTour,AttendDiscuss,AttendExhibit,AttendFestival,AttendFilm,AttendLibrary,AttendLiteracy,AttendMuseum,AttendPreservation,AttendPublication,AttendRadio,AttendResearch,AttendSpkrBureau,AttendStudent,AttendTV,AttendTeacher,AttendTech,Award1,Award2,Award3,ByLawsAppr,ChairTerm,ChairTermMax,ChairTermRenew,Comments1,Comments2,Comments3,Comments4,CongDistrict,CouncilMtgDates,CouncilMtgNumber,CouncilMtgOther,GrtApplicFunded,GrtApplicReceived,GrtScholars,GrtScholarsEffort,MembApptRenew,MembCurrent,MembGovAppt,MembGovApptCoext,MembGovApptMax,MembGovApptNumber,MembGovApptRenew,MembGovApptTerm,MembMaxServ,MembNominProc,MembRegTerm,MembTotal,PlanYear,ProjChautauqua,ProjConference,ProjCultTour,ProjDiscuss,ProjExhibit,ProjFestival,ProjFilm,ProjLibrary,ProjLiteracy,ProjMuseum,ProjPreservation,ProjPublication,ProjRadio,ProjResearch,ProjSpkrBureau,ProjStudent,ProjTV,ProjTeacher,ProjTech,ReachAudience,SpecialGroups,State
131,Y,"Mailed all council mailing, letters regarding funded projects and council programs in their districts, invitations and announcements from KHC and project sponsors, personal contact with board and staff. Director attends monthly meetings of the Cabinet for",Speakers Bureau/Chautauqua catalog; Call for nominations to the Board; Call for applications to Speakers Bureau and Kentucky Chautauqua; Press kits for Kentucky Chautauqua; Report to the People; Grant Guidelines; Fund raising letters; Special announcement,yes,Y,Y,twice per year,Kentucky Humanities,Y,Survey of organizations asking them to give us feedback concerning SB/Chautauqua and other programs; Project and SB evaluation forms ask for comments (we keep record of comments and report to the board); Survey scholars every two years; Request for feedback in the magazine; Web site updates and include email addresses on web site; Board self-evaluations.,22074,1515,5186,3370,31827,4550,323,11140,0,66460,0,59580,461300,0,9365,1130,0,548,56960,"Old Washington's Simon Kenton Pioneer Festival, featuring Kentucky Chautuaqua, Simon Kenton, named one of Kentucky's top 10 fall festivals by Kentucky Tourism Council.","""Stranger With A Camera,"" a KHC-funded documentary by Elizabeth Barret from Appalshop, Inc., is about Hugh O'Connor, who was shot and killed in 1967 by Hobart Ison of Jeremiah, Kentucky. This documentary was one of 13 films selected for competition and sh","""Stranger With A Camera,"" a KHC-funded documentary by Elizabeth Barret from Appalshop, Inc., is about Hugh O'Connor, who was shot and killed in 1967 by Hobart Ison of Jeremiah, Kentucky. This documentary was one of 13 films selected for competition and sh",1998,2,2,N,{},{},{},{},District 1: 105 District 2: 84 District 3: 84 District 4: 109 District 5: 61 District 6: 306,"November 10-11, 2000 April 20-21, 2001",3,"Committee meetings: Executive, Planning & Evaluation, Development, Nominating & Bylaws.  All meet at least three times per year between board meetings.  Special meetings for Chautauqua review, ad hoc committees for special issues.",47,60,604,"Update scholars' data base every two years, which involves inviting new scholars at state colleges and universities to participate in council projects, determining their expertise and interests. Ask scholars to contribute articles to magazine, participate in SB, serve as consultants for projects. Host workshops in communities around state and invite scholars to attend these workshops to let them know how they can participate and help with projects.",Y,21,5,Y,6,23,Y,3,6,"Advertisements to citizens throughout the state, written statewide solicitation, and board members are encouraged to submit applications from their communities and surrounding counties.  Board alumni are also asked for nominations.  Examples of groups contacted range from colleges and universities to local historical societies.  Mail list of 9,000.",3,23,2000,141,18,15,51,8,8,6,73,1,57,1,9,119,0,206,4,0,7,3,"The Speakers Bureau and Kentucky Chautauqua reach new audiences in new communities each year, averaging 20% of total attendance. We develop new programs to specifically attract these new audiences. The magazine targets rural areas too small to support programs, and broadcasts on radio and televisi","Seniors - Project developed for senior citizens in five senior centers about growing old and making difficult choices. Also, a number of senior centers engage speakers and chautauqua presentations. Kentucky Humanities magazine reached 12,000 Kentuckians l",KY
132,Y,"Copies of all Annual Reports and LOUISIANA CULTURAL VISTAS, the quarterly magazine, are distributed to the governor, senior state officials, and the state legislature as well as numerous mayors, educational and cultural administrators on the parish and st","Guidelines, brochures, catalogues, requests for proposals",yes,N,Y,quarterly,Louisiana Cultural Vistas,Y,Our executive manager has a background in PR/marketing and serves as our in-house PR coordinator.  Press releases and magazine stories also serve this function.  Project evaluation forms are used to solicit comments on particular events.,1176,36701,48376,8304,44798,44123,475,7839,1370,65970,1099,366013,49500,1821,0,0,283200,2058,195971,"2000 New Orleans Press Club Awards: Louisiana Cultural Vistas, 1st Place, Best Publication; Louisiana Cultural Vistas, 1st & 2nd Place, Layout & Design; Louisiana Cultural Vistas, 1st, 2nd, & 3rd Place, Print Photography; Louisiana Cultural Vistas, Presid","Dr. Leslie Parr, Picturing the South: Southern Photography, Culture, and History (Summer Teacher Institute), Certificate of Commendation, 1999 American Association of State and Local History Awards","Dr. Leslie Parr, Picturing the South: Southern Photography, Culture, and History (Summer Teacher Institute), Certificate of Commendation, 1999 American Association of State and Local History Awards",07/97,1,2,Y,{},{},{},{},"1 - 68, 2 - 92, 3 - 97, 4 - 128, 5 - 82, 6 - 89, 7 - 106","07/14/00, 12/01/00, 4/27/01",3,"Grant Review Committee - 2, Media Panel (independent review of Media Grant apps.) - 2, Publication & Photodocumentation Panel (ind. review of P/P apps.) - 1, Executive Committee, Development Committee, and Finance Committee - As Needed",90,151,385,"In 1999 ten grants workshops were held on campuses and directed towards faculty, some solely to inform faculty members of how they can become involved in our Summer Teacher Institutes. The program staff also maintains a presence at professional conferences such as the Louisiana Council of Teachers of English and the Louisiana History Association meetings.",Y,26,6,N,6,27,Y,3,6,"Any Louisiana citizen or appropriate organization may recommend candidates for Board membership.  Not less than 30 days prior to the meeting at which the election will take place, the LEH solicits, through regular mailings, Board membership recommendations from cultural and educational institutions, minority, business, labor, and professional and civic organizations.  Names and CV's of all candidates are forwarded to all Board members along with the recommendations of the Nomination Committee.  Nominations of candidates whose names and CV's hav",3,27,2000,4,43,23,260,12,11,2,11,218,21,2,21,4,6,0,0,6,21,3,"The LEH has a multi-faceted program to reach a variety of audiences. Programming for public radio and television, Web-based projects, and the quarterly magazine reach audiences unable to attend programming. The library system makes every LEH-funded media project available to every citizen of the s","Prime Time Family Reading Time targets at-risk families (for 1999: 37 programs, 259 sessions, 1554 attendees), RELIC library reading & discussion programs (for 1999: 42 programs, 252 sessions, 4536 attendees), Summer Teacher Institutes (for 1999: 14 4-wee",LA
133,Y,"Governor and appropriate state and local officials are sent all newsletters and special mailings, and press releases announcing all grants awarded in their district.","Brochures, information on special initiatives, questionnaires.",yes,Y,Y,2/yr,MassHumanities,Y,The web site. Press releases sent to all media outlets announcing grant awards twice yearly.  Audience evaluations at council conducted events.,0,6648,0,3456,45331,892,15,7182,0,11348,0,1035,1500115,6,0,1152,0,137,16900,{},{},{},9/98,2,2,N,{},{},{},{},"1st-150, 2nd-64, 3rd-65, 4th-43, 5th-43, 6th-31, 7th-31, 8th-75, 9th-44, 10th-58","June 9-10, 2000 September 15, 2000* December 15, 2000* March 16, 2001* *pending approval at the June 10, 2000 meeting.",4,Executive Committee meets monthly with the exception of August.  Institutional Development Committee meets as needed.  Program and  Evaluation meet quarterly. Membership/Nominating Committees meet twice a year.  Small adhoc subcommittees meet as needed.,67,97,262,Public meetings and grant writing workshops are widely advertised in academic community. We regularly update our mailing list of humanities scholars as needed by requesting new lists from colleges/universities. New scholars are recruited on a project by project basis.,Y,25,6,N,6,6,Y,3,6,Nominations solicited annually from organizations and individuals to meet Foundation's strategic representational needs.  Nominations from public welcome at any time.,3,25,2000,0,146,0,176,12,4,3,170,0,17,0,2,235,6,0,10,0,4,2,"Proposals are solicited from underserved areas of the state and from underserved populations. In 1999 we held an information session in a region that is underserved. All applicant organizations, expecially large established institutions are encouraged to reach out beyond their usual audiences. Fo","Teachers: 4 projects, 137 teachers; Underserved area audience: 40 reading & discussion sessions, 600 people (If you note that the same people are attending a reading & discussion series, then the # of different people reached was 150.)",MA
134,Y,The Council's magazine MARYLAND HUMANITIES is sent to state officials and elected representatives throughout Maryland.  Public officials also receive the Council's monthly press releases and letters from our grantees announcing receipt of Council funding.,"Speakers bureau announcement, press releases, Chautauqua brochure, fund raising letter.",y,N,y,periodic,MARYLAND HUMANITIES,Y,"Brochures, postcards, radio spots, newspaper articles, newspaper and magazine advertisements.",5140,11045,302,3368,292624,1646600,200,100860,1152,194025,0,62050,0,0,2219,7866,313000,12,1000,"American Association of State and Local History Certificate of Commendation for ""Fashionable, Functional, and Frugal,"" a museum exhibition at the Greenbelt Museum. 1999.",{},{},7/7/91,1,2,Y,{},{},{},{},Congressional District 1: 83 events. Congressional District 2: 39 events. Congressional District 3: 52 events. Congressional District 4: 28 events. Congressional District 5: 39 events. Congressional District 6: 30 events. Congressional District 7: 54 even,"September 16, 2000 January 20, 2001 April 7, 2001",3,"The Executive Committee meets at least three times a year.  The Evaluation, Nominating, and Membership Committees meet on an ""as needed"" basis.  The Minigrant Review Committee reviews grants applications on a continuous basis throughout the year.  The Com",47,73,422,The Maryland Humanities Council sends out an annual notice to scholars for auditions for our Speakers Bureau. Scholars who are not selected for the Speakers Bureau are still kept in a database so that the staff can refer project directors to scholars who may be used as consultants or speakers in public programs. The Council conducts at least six meetings throughout the state each year to meet with scholars and cultural institutions to introduce them to the work of the Council and explain how they might participate. The Council's magazine is sent to scholars in all academic institutions in Maryland and in neighboring states.,Y,25,6,N,0,25,Gubernatorial appointees serve until their success,0,6,"Nominations are sought through advertisements in the Council magazine sent to citizens throughout the state.  Nominations are also sought from current and alumni members of the Council; representatives of other cultural, arts, and humanities organzations; and elected officials.",4,26,2000,18,51,7,106,19,5,4,76,48,46,0,7,0,0,59,18,9,1,1,"The Council has tried agressively to reach underserved audiences through Family Matters, a book discussion series for families in public housing sites, transitional housing shelters, and police athletic leagues. In 1999 one of the Family Matters sites was the Hispanic Cultural Center. Our Chautauq","At-risk families in low-income neighborhoods: 48 events, 1,152 audience. Chautauqua in rural areas: 12 events, 1,460 audience",MD
135,Y,"The Governor, all state officials, and Maine's Congressional delegates are on the Council's mailing list to receive all newsletters and relevant mailings. Special programs are held annually at the state capital for members of the Legislature, and personal","Announcements of new programs are sent to targeted audiences, using mailing lists from the State Department of Education, Maine State Library Association, State Cooperative Extension Program, etc.",YES,Y,Y,3/yr,Maine Humanities,Y,"We hold public meetings around the state, particularly in rural, under-served areas.  (On 9/19/99, Maine Humanities Council Board and staff members participated in a public meeting in Machias, a town in Washington County with the highest unemployment rate and lowest income level in the state.)  We also meet with media representatives, and copies of our annual report are always available upon request.",245,3230,1875,4160,35800,6000,4400,1200,7845,550,975,10650,4700,0,30,440,3500,485,1850,{},{},{},1999,1,2,Y,{},{},{},{},District 1 - 170 events District 2 - 149 events,"September 22 thru 24, 2000 December 7, 2000 March 13, 2001",3,"Council subcommittees meet regularly during the year: Executive, Personnel, Development, plus various ad hoc committees and program oversight committees.  A new ad hoc Humanities Task Force was formed in 1999 to explore the condition of humanities educati",89,110,188,"The Council continues to make efforts to involve scholars in all its programs, both grants and Council-conducted. Our major grant application includes a special section for scholars to complete, to insure their active involvement in projects.",Y,21,5,N,8,23,Y,4,8,"Requests for nominations are made through the Council's newsletter, at public meetings, and through contacts with academic deans of Maine colleges by Council staff.  Board members also solicit nominations through their contacts.",4,17,2000,1,85,20,63,10,20,7,24,31,14,10,9,1,0,1,10,1,10,2,"The Council Board and staff address this issue on a regular basis and try to offer a variety of programs, including Winter Weekend and teacher seminars, bus tours in historic areas of the state, and Maine Center for the Book literacy programs.","In 1999, the Maine Humanities Council was able to reach: 420 teachers (8 seminars on humanities-related topics & a Winter Weekend conference on Moby Dick) 100 hospital personnel (Literature & Medicine discussion groups) 4,000 families (Born To Read; New B",ME
136,Y,Mailings of quarterly newsletters to all legislators; legislators receive notice of awards in their districts; informational meetings scheduled with legislators as appropriate and necessary.,"Grant guidelines and program brochures; Great Lakes Culture Tour brochure; Touring Arts & Humanities catalogue, grant application and presenter application forms; Culture Kit brochures and other Resource Center promotions; Update ""postcards"" as necessary",Yes,N,Y,quarterly,MHC Newsletter,Y,"Extensive use of our web site (www.mihumanities.h-net.msu.edu) which contains grant guidelines and archive of funded projects, Resource Center catalogue, statewide calendar of cultural events; Touring Arts & Humanities directory, update on Council activities, Culture Tour calendar, directory of scholars, and other information.  Response to our web site has been exceptionally positive.",229950,1400,6000,600,5500,3500,1500,10200,150,10000,0,0,2000000,75,17500,0,1000000,100,0,"The Michigan Associated Press Michigan Radio's Wendy Nelson, who reports regularly for the Arts and Humanities Radio Project, and Arts and Humanities Radio Project Coordinator and reporter Tamar Charney as the top two Public Radio reporters. Michelle Coru",{},{},1991,2,6,N,{},{},{},{},District 1: 92; District 2: 7; District 3: 24; District 4: 58; District 5: 8; District 6: 7; District 7: Unknown; District 8: 37; District 9: 1; District 10: 9; District 11: 1; District 12: 8; District 13: 1; District 14: 2; District 15: Unknown. NOTE: In,"July 6, 2000 October 20, 2000 January 19, 2001 May 25, 2001",3,Executive Committee Meetings: 3-5/yr; Meetings of various ad-hoc committee meetings as necessary.,403,441,705,Updating of on-line directory of scholars; solicitation of scholars through academic departments and associations; Imagining Michigan program to encourage collaboration between scholars and public.,N,19,6,N,4,25,Y,4,4,"Advertisements to citizens throughout state; written statewide solicitation; solicitation of Council members, staff and other individuals for nominations.",4,25,2000,657,7,84,12,3,35,6,10,3,10,0,1,52,1,50,0,1,1,2,"Special mailings sent to teachers, school administrators and education reporters regarding funding opportunities via Touring Arts & Humanities program and resources available from Resource Center. Council programming and funding opportunities were exhibited at 9 educational and cultural conferences","Rural audiences: 104 programs: 18,000 people.",MI
137,Y,MHC Board and staff met with the Governor's #1 man twice this year.  MHC representatives testify at the Legislature each year before four different committees.  MHC submits formal annual reports to the state of MN and the City of St. Paul each year.,"MHC publishes an annual report; annual guidelines, and numerous brochures, programs, and invitations.  In addition, special newsletters go out three times a year to the Motheread/Fatheread sites (650) and the K-8 schools in the state.",Yes,Y,Y,3 X yr.,Minnesota Humanities,Y,MHC employes a half-time public relations person who places MHC articles in the print and electronic media.  MHC has had extensive publicity this past year with extraordinary statewide television and newspaper coverage of the MN Book Awards and the Hmong Translation Project party.,470,13033,705,7006,15385,1138,421,223,540,3450,2741,79950,50000,365,1675,600,721470,10330,6500,none report for 1999,{},{},1998,1,2,Y,{},{},{},{},All MHC Programs: District 1 - 56 District 2 - 83 District 3 - 59 District 4 - 169 District 5 - 140 District 6 - 71 District 7 - 119 District 8 - 50,"October 6, 2000 February 2,2001 June 1, 2001",3,"The Executive Committee meets approximately six times a year between board meetings.  Standing committees: Trustees and Development, Government Affairs, Grants Policy, and Finance and Investments meet a minimum of three times a year each.",128,146,355,"A) MHC's ""Works in Progress"" grantline, now in its fourth year, remains an effective means of reaching new humanities scholars at two- and four-year institutions. Recipients of these $2500 awards often participate in other MHC programs as well. B) MHC staff continued in 1999 to cultivate newly retired humanities faculty to serve on our ""Emeritus Bureau,"" an informal information and referral service for regrant projects, particularly the increasing number of ""learning in retirement"" organizations that MHC funds. C) Building on work started in 1997 and '98, MHC staff continues to convene meetings with senior faculty and academic deans at Minnesota's public colleges/universities to inform them of the opportunities/assistance MHC can offer as faculty in public institutions re-assess their ""service to the field.""",Y,26,8,Y,8,35,Y,4,8,"Any Minnesotan can submit his or her name for nomination and a remarkable number of members have come over the transom.  Board and staff announce board membership possibility at public meetings, professional meetings, and on social occasions.  Legislators and other leaders are informed and invited to submit names, as well.",4,35,2000,2,53,21,225,8,12,14,9,39,15,200,40,2,9,10,20,15,47,7,"A) The MHC Board continues to set priorities funding/strategic categories for our regrant program; current funding/strategic efforts include organizations in Great MN, senior citizen organizations, and projects serving or conducted by minority organizations. B) Two special outreach initiatives","Greater MN - 40 events, 22,615 audience Older Adults - 17 events, 17,592 audience Minority - 5 events, 4216 audience Multi-Site - 2 events, 550 audience",MN
138,Y,Newsletter; conversations with governor's staff and state officials; individual notices of grants awarded or programs taking place in each district; hearings of the legislature,"Speakers Bureau Brochure; Request for Proposals (Speakers); Brochures for individual programs lines (Read from the Start, Chautauqua, Local Heritage Initiatives); Biennial Report",Yes,Y,Y,4 times a year,Missouri Humanities Council News,Y,"Public radio announcements; newspaper program notices; web site containing all guidelines, forms, program schedule; visits with legislators and state officials; on-going programs in partnership with tourism, economic development, public TV & arts; regional focus meetings; newsletter inquiries.",9983,352,300,4292,10225,87375,1000,2605,1187,955,0,54000,62400,0,12049,648,0,14,0,None Known,{},{},1998,1,2,Y,{},{},{},{},#1=50 #2=192 #3=28 #4=127 #5=91 #6=89 #7=64 #8=91 #9=52,"June 2-3, 2000 September 22-23, 2000 December 1-2, 2000 February 13-14, 2000",4,"Board committee meetings (Executive, Development, Membership, Public Information; board sub-committee meetings (one for each program line); speaker orientation meeting; Chautauqua communities meeting;",41,46,161,Request for Proposals; telephone and personal contact; referrals,Y,23,6,Y,8,24,N,8,6,Newsletter notice and letter to council members.  Membership committee assesses needs and nominates members.,3,24,2000,136,30,9,81,16,101,2,73,77,20,1,9,260,0,388,11,0,1,0,Plans were made to expand the Heartland Chautauqua program in 2000 in include two separate casts performing in Missouri and Illinois for 5 weeks simultaneously. Read from the Start added partnerships with educational resources and literacy organizations throughout the state involving underprivile,"Heartland Chautauqua made plans to effectively double its urban and rural audience and programs to 56 programs and approximately 16,000 in attendance in the year 2000. Read from the Start expanded the number of programs provided to underprivileged parents",MO
139,Y,"Press releases in the local media, newsletter, annual report to CNMI governor and brochures.","Brochures, application packages",yes,Y,Y,semi-annual,I Taotao Yan I Tano (The People and their Islands),Y,"Grant writing workshops held in Saipan, Tinian and Rota and through meetings with representatives from community organizations and government agencies and institutions,i.e. schools, college, Historic Preservation, Museum, etc.",0,1000,6500,0,10000,0,0,0,100,1500,6500,10000,0,0,0,500,10000,50,0,None,None,None,1997,1,3,Y,{},{},{},{},Tinian--3 exhibits; 2 public workshops on grantwriting Rota--3 exhibits; 2 public workshops on grantwriting Saipan--116,"April 27, 2000 July 27, 2000 October 26, 2000 January 26, 2000",4,Executive Committee meets as needed. Average meetings are 12 annually Program Committee meets as needed. Development Committee meets as needed. Ad hoc subcommittees meet as needed,9,13,22,"Council and staff recommend scholars to grant applicants. Staff maintains a network of scholars locally and regionally. Our grant guidelines strongly urge applicants to involve scholars at all levels of planning and implementation. In council projects, scholars are involved in planning and in the project itself.",Y,13,3,Y,9,13,Y,3,9,Board vacancies are announced in the local media and the general public is invited to nominate persons. Persons may also nominated themselves.  Board members are encouraged to nominate candidates who are particularly qualified to serve.,3,13,2000,0,45,9,0,52,0,0,0,27,9,9,11,0,0,0,18,2,19,0,"Publication of newsletter,press releases,television and radio announcements, brochures, leaflets, and diverse programming reaching many segments of the community--teachers, students, elders, and the general public. Travelling exhibits and the publication and distribution of books and booklets also r",Focus on teachers--Teacher Institutes-19 institutes; 50-60 K-12 teachers; Focus on students--Essay contest--6 presentations; 500 students participating 102 contestants.,MP
140,Y,"Biennial report to the governor and the people of Mississippi Letters of invitation to each Council funded minigrant and regular grant program Invitations to Counicl events for governor, other state officials, and members of Congress All of the above are","Miscellaneous program announcements, post card updates, and brochures regarding special initiatives, major events, or general information.",Yes,Y,Y,Three annually,Focus on the Humanities,Y,Web page,2187,19109,80335,11753,9425,2285,0,2834,1400,76571,0,22708,0,0,2681,3200,250000,1851,0,{},{},{},1999,2,2,N,{},{},{},{},First District--32 Second District--27 Third District--46 Fourth District--50 Fifth District--50,"September, February, May/June Exact dates will be set by chair at meeting May 30-31, 2000.",3,"We usually try to combine special events such as the awards dinner, Norman and Keady Lectures, Governor's Inaugural Symposium, and others with regular Council meetings to save money. Committees often meet in between sessions; we use frequent conferencing",139,163,571,"Efforts to involve scholars include Humanities Teacher Awards, Council conducted projects, and staff visits to campuses. Statistics related to scholar involvement and total attendance for regrants and council-conducted projects are based on final Project Director Reports (when available) or Project Proposal estimates. Final numbers for all grants are not yet available.",Y,20,5,N,0,22,Y,4,8,"At public meetings, during speeches to organizations, at proposal-writing workshops, and at every possible Council program, the staff and board solicit nominations. Most Council publications (newsletter, guidelines, printed programs) and press releases include a written message asking for nominations. Current members are reminded regularly to nominate likely persons. The process for election is outlines in the by-laws.",4,22,2000,5,56,27,47,8,3,0,52,40,14,0,5,0,0,28,2,1,9,0,"Proposal writing workshops conducted around the state, visits to college and university campuses, presentations at state professional conferences, collaboration with museum and historical organizations, statewide oral history project, web site, cultural tourism initiatives, collaborations with ongoi","Rural, urban, and ethnically diverse. Though we encourage proposals from these targeted groups, we have at present no reliable way to assess audiences in these categories and have been reluctant to include demographic questions on evaluation forms for fea",MS
141,Y,"Communications with officials occur in several ways: personal meetings, annual letter, MCH newsletter/magazine, and the MCH website.","Annual or biennial catalogs for the Speakers Bureau, the Media Collection, and other programs; grants guidelines mailings; annual letter; MCH listserv (lastbest@listserv.umt.edu); website (www.umt.edu/lastbest/",yes,Y,Y,semi-annually,Rendezvous: The Humanities in Montana,Y,"In addition to newlsetter/magazine, program announcements, catalogs, meetings/receptions in various localities, mass mailings, website, listserv, we also provide media releases concerning sponsored programs, new members and officers, planning issues, and other matters; attend, make presentations, and solicit comments at professional meetings throughout the state (teachers' associations, librarians' association, museums' association, Native American education associations, state historical society, and others.",4620,5305,5819,650,3500,835,83845,4690,275,3150,979,16500,77000,0,17570,78904,1350000,538,109500,"Video ""From Far East to the Old West: Chinese and Japanese Settlers in Montana,"" produced by the Mansfield Center for Pacific Affairs at The University Montana, was nominated for a regional emmy (one of six nominees)","Video ""How the West Was Fun,"" produced by the Broadcast Media Center of The University of Montana, won the Silver Honor Award from the Parents' Choice Foundation as well as a silver Telly award","Video ""How the West Was Fun,"" produced by the Broadcast Media Center of The University of Montana, won the Silver Honor Award from the Parents' Choice Foundation as well as a silver Telly award",1998 approved and am,1,0,Y,{},{},{},{},Montana constitutes one Congressional district,"September 9-10; November 11-12, 2000; January/February and April dates in 2001 not yet scheduled.",4,The grants subcommittee meets roughly monthly. Three other standing subcommittees meet at least quarterly. Others meet annually or at need. Meetings most often occur via telephone conference call.,39,46,510,"510 is a tenth of a per cent of the state's adult population; not bad, relatively speaking. We invite scholars from other states; meet with deans, humanities department chairs, faculties, to recruit; recruit new scholars for Speakers Bureau; enlist new scholars for project evaluation and other initiatory activities; assist them with grant applications to other agencies, foundations, etc.",N,19,4,Y,0,19,Y,4,4,"MCH elects new members annually. Requests for applications and nominations are sent to former members, the MCH mailing list, the MCH magazine/newsletter, the media, the MCH websites and listservs, and others. Completed applications and nominations (letter of interest, vita, two letters of recommendation) must arrive in October, prior to the November annual meeting. At the November meeting, the Nominations Subcommittee offers its recommendations for new members (and officers) and the full Committee then deliberates and elects new members by simp",4,19,2000,66,40,80,30,5,5,3422,67,11,46,4,6,11,0,251,2538,8,2,12,"Expanded Speakers Bureau visited six new rural communities; added Speakers Bureau program that appeal to rural commujnities, farmers, ranchers; also programs of interest to Native Americans; grant project on bridge preservation and history reached engineers, planners, state department of transportat",Rural events= 1909 Rural audience= 172025 Elder events= 73 Elder audience= 102950 Native American events= 230 Native American audience= 27234,MT
142,Y,"Two newsletter of 12-16 pages each; annual ""Report to the People"" listing all NCHC grants and projects, audited financial statements and list of donors.  Governor invited to annual Caldwell Award for the Humanities.",NC Crossroads NC Humanities Forum Catalog Brochures Guidelines,yes,Y,Y,2,North Carolina Humanities,Y,NCHC website Discussions with project directors NCHC staff visitation to programs,0,2562,858,3525,745,4967,1221,2360,4102,2653,0,139544,1600000,0,3351,1189,0,998,0,Project Title: NC Crossroads Format: Publication Prize: The Helen & Martin Schwartz Prize for Excellence in Public Programming presented by The Federation of State Humanities Councils Sponsor: The North Carolina Humanities Council Date of Award: October 2,{},{},1998,2,2,N,{},{},{},{},Congressional District Number of Events 1st 30 2nd 36 3rd 81 4th 71 5th 26,"June 16-17, 2000 November 3-4, 2000 February 16-17, 2001 June 15-16, 2001",4,Annual John T. Caldwell Award for the Humanities; Council Membership; Program & Development & Public Relations committees; Advisory Board,77,96,339,"Through newsletters, workshops, advisory boards, public radio cultural reports, membership on Council, evaluators of Council programs and consultants to non-profit groups",Y,19,5,N,6,23,Y,3,6,"Advertised in the Council's Newsletter sent to 12,720 people on the mailing list; former NCHC members (academic and public); Native-Americans, African-American groups; Project Directors; individuals connected with state government and other educational and cultural organization.",3,23,2000,0,165,79,214,5,10,38,124,336,63,0,11,53,0,83,122,2,44,1,"Staff working with project directors on recruiting proposals from non-traditional audiences; public radio cultural reports; quarterly ""Crossroads"" publication including a bilingual edition; and proposal writing workshops","Targeted Groups # of Events Audience Figures K-12 students 46 1,980 (2 projects incomplete) Public school teachers 18 1,053 (1 project incomplete) African-Americans 975 (3 projects incomplete) Rural 30",NC
143,Y,Directly and through four gubernatorial appointees to the Council.,Grant guidelines; fellowship announcements; periodic state-wide press releases,yes,Y,N,NULL,NULL,Y,Direct feedback at public programs.,2415,4191,1180,1029,0,73,0,0,0,0,0,0,0,0,4668,11150,70000,0,0,{},{},{},2000,1,1,N,{},{},{},{},one congressional district - 391 events,"June 22-23, 2000 October, 2000 March, 2001",3,NDHC Executive Committee meets via conference call as needed. NDHC Special Projects Committee meets via conference call as needed. NDHC Fellowship Committee meets with fellowship recipients once a year.,16,16,147,The NDHC Executive Director and the Senior Consultant held meetings on several campuses to explain the Council's programs and to encourage scholars to participate; periodically direct mailings were made to all humanities scholars in the state.,Y,15,4,Y,12,15,Y,4,6,State-wide announcements; direct mailing; active recruitment by Council members,3,15,2000,11,58,5,56,0,5,0,0,0,1,0,0,0,17,36,200,2,0,0,Aggressive advertising of programs,{},ND
